排名,电影名,年份,国家,类型,导演,演员,评论,评分,评价人数,点击数,名著改编
170,心迷宫,2014,中国大陆,剧情犯罪悬疑,忻钰坤,霍卫民/王笑天...,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,431226人评价,0,1
171,岁月神偷,2010,中国香港中国大陆,剧情家庭,罗启锐,吴君如/任达华/钟绍...,岁月流逝，来日可追。,8.7,518854人评价,0,0
172,记忆碎片,2000,美国,犯罪剧情悬疑惊悚,克里斯托弗·诺兰,盖·皮尔斯/...,一个针管引发的血案。,8.7,528719人评价,0,1
173,忠犬八公物语,1987,日本,剧情,,山本圭/井川比佐志...,养狗三日，便会对你终其一生。,9.2,165162人评价,0,1
174,海街日记,2015,日本,剧情家庭,是枝裕和,绫濑遥/长泽雅美...,是枝裕和的家庭习作。,8.8,370464人评价,0,0
175,惊魂记,1960,美国,悬疑惊悚恐怖,阿尔弗雷德·希区柯克,安东尼·博金斯...,故事的反转与反转，分裂电影的始祖。,9.0,226892人评价,0,0
176,荒蛮故事,2014,阿根廷西班牙,剧情喜剧犯罪,达米安·斯兹弗隆á,达里奥·葛兰帝内提í...,始于荒诞，止于更荒诞。,8.8,375577人评价,0,1
177,爆裂鼓手,2014,美国,剧情音乐,达米恩·查泽雷,迈尔斯·特勒/...,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.7,490329人评价,0,1
178,九品芝麻官,1994,中国香港中国大陆,剧情喜剧古装,王晶,周星驰/吴孟达/...,,8.6,538970人评价,0,0
179,贫民窟的百万富翁,2008,英国,剧情爱情,丹尼·鲍尔/洛芙琳·坦丹,戴夫...,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.6,655039人评价,0,1
180,真爱至上,2003,英国美国法国,喜剧剧情爱情,理查德·柯蒂斯,休·格兰特/柯林...,爱，是个动词。,8.6,623454人评价,0,1
181,东邪西毒,1994,中国香港中国台湾,剧情动作爱情武侠古装,王家卫,张国荣/林青霞...,电影诗。,8.6,507570人评价,0,1
182,绿里奇迹,1999,美国,犯罪剧情奇幻悬疑,,汤姆·汉克斯/大卫·摩斯...,天使暂时离开。,8.9,265597人评价,0,0
183,小偷家族,2018,日本,剧情犯罪家庭,是枝裕和,中川雅也/安藤樱...,我们组成了家。,8.7,715205人评价,0,1
184,爱在午夜降临前,2013,美国希腊,剧情爱情,理查德·林克莱特,伊桑·霍克...,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,315091人评价,0,0
185,无敌破坏王,2012,美国,喜剧动画奇幻冒险,瑞奇·莫尔,约翰··赖利./萨拉...,迪士尼和皮克斯拿错剧本的产物。,8.7,458442人评价,0,0
